"","dcode","dname","month","wasteamt"
"519",1002,"ดุสิต","08-2018",5351.61
"520",1019,"ตลิ่งชัน","08-2018",4641.88
"521",1048,"ทวีวัฒนา","08-2018",3471.81
"522",1049,"ทุ่งครุ","08-2018",4228.74
"523",1015,"ธนบุรี","08-2018",5130.82
"524",1020,"บางกอกน้อย","08-2018",5355.15
"525",1016,"บางกอกใหญ่","08-2018",2443.14
"526",1006,"บางกะปิ","08-2018",11236.2
"527",1021,"บางขุนเทียน","08-2018",10584.3
"528",1005,"บางเขน","08-2018",9886.74
"529",1031,"บางคอแหลม","08-2018",4360.87
"530",1040,"บางแค","08-2018",8992.11
"531",1029,"บางซื่อ","08-2018",5325.65
"532",1047,"บางนา","08-2018",6890.88
"533",1050,"บางบอน","08-2018",7042.18
"534",1025,"บางพลัด","08-2018",4957.82
"535",1004,"บางรัก","08-2018",4906.34
"536",1027,"บึงกุ่ม","08-2018",6368.43
"537",1007,"ปทุมวัน","08-2018",9881.88
"538",1032,"ประเวศ","08-2018",9761.35
"539",1008,"ป้อมปราบศัตรูพ่าย","08-2018",2538.71
"540",1014,"พญาไท","08-2018",5603.85
"541",1009,"พระโขนง","08-2018",4672.71
"542",1001,"พระนคร","08-2018",6102.13
"543",1022,"ภาษีเจริญ","08-2018",5192.11
"544",1010,"มีนบุรี","08-2018",6181.98
"545",1012,"ยานนาวา","08-2018",5908.32
"546",1037,"ราชเทวี","08-2018",7168.87
"547",1024,"ราษฎร์บูรณะ","08-2018",3768.68
"548",1011,"ลาดกระบัง","08-2018",9875.36
